2023-01-03 23:04:33.966 INFO  ws://127.0.0.1:5005/ [WebSocketClient.cpp:40:open]
2023-01-03 23:04:33.968 INFO  EventLoopThread started, tid=12112 [G:/lib/libhv/evpp/EventLoopThread.h:86:loop_thread]
2023-01-03 23:04:33.970 INFO  ws://127.0.0.1:5005/ [WebSocketClient.cpp:40:open]
2023-01-03 23:04:33.970 INFO  EventLoopThread started, tid=212 [G:/lib/libhv/evpp/EventLoopThread.h:86:loop_thread]
2023-01-03 23:04:35.226 INFO  reconnect... cnt=1, delay=1000 [G:/lib/libhv/evpp/TcpClient.h:164:startReconnect]
2023-01-03 23:04:35.226 INFO  reconnect... cnt=1, delay=1000 [G:/lib/libhv/evpp/TcpClient.h:164:startReconnect]
2023-01-03 23:04:36.988 INFO  reconnect... cnt=2, delay=2000 [G:/lib/libhv/evpp/TcpClient.h:164:startReconnect]
2023-01-03 23:04:37.157 WARN  connfd=852 connect error: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。 :10057 [nio.c:225:nio_connect]
2023-01-03 23:04:37.157 INFO  reconnect... cnt=2, delay=2000 [G:/lib/libhv/evpp/TcpClient.h:164:startReconnect]
2023-01-03 23:04:39.966 WARN  connfd=856 connect error: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。 :10057 [nio.c:225:nio_connect]
2023-01-03 23:04:39.966 INFO  reconnect... cnt=3, delay=2000 [G:/lib/libhv/evpp/TcpClient.h:164:startReconnect]
2023-01-03 23:04:40.170 WARN  connfd=208 connect error: 由于套接字没有连接并且(当使用一个 sendto 调用发送数据报套接字时)没有提供地址，发送或接收数据的请求没有被接受。 :10057 [nio.c:225:nio_connect]
2023-01-03 23:04:40.170 INFO  reconnect... cnt=3, delay=2000 [G:/lib/libhv/evpp/TcpClient.h:164:startReconnect]
