2023-01-13 00:01:02.185 INFO  [127.0.0.1:56157] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:01:02.186 INFO  [14964-4520][127.0.0.1:56157][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:01:56.105 INFO  [127.0.0.1:56168] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:01:56.105 INFO  [14964-14884][127.0.0.1:56168][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:02:13.165 INFO  [127.0.0.1:56173] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:02:13.165 INFO  [14964-4520][127.0.0.1:56173][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:02:46.299 INFO  [127.0.0.1:56183] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:02:46.299 INFO  [14964-13380][127.0.0.1:56183][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:06:13.431 INFO  [127.0.0.1:56217] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:06:13.431 INFO  [14964-16264][127.0.0.1:56217][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:06:31.832 INFO  [127.0.0.1:56232] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:06:31.832 INFO  [14964-5684][127.0.0.1:56232][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:07:32.808 INFO  [127.0.0.1:56258] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:07:32.808 INFO  [14964-14884][127.0.0.1:56258][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:09:41.225 INFO  [127.0.0.1:56280] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:09:41.225 INFO  [14964-11436][127.0.0.1:56280][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:11:10.587 INFO  [127.0.0.1:56291] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:11:10.587 INFO  [14964-13380][127.0.0.1:56291][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:14:29.293 INFO  [127.0.0.1:56315] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:14:29.293 INFO  [14964-11436][127.0.0.1:56315][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:14:36.316 INFO  [127.0.0.1:56319] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:14:36.316 INFO  [14964-4520][127.0.0.1:56319][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:15:56.709 INFO  [127.0.0.1:56345] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:15:56.709 INFO  [14964-11460][127.0.0.1:56345][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:16:14.578 INFO  [127.0.0.1:56354] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:16:14.578 INFO  [14964-4520][127.0.0.1:56354][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:21:08.153 INFO  http server listening on 0.0.0.0:5005 [HttpServer.cpp:336:http_server_run]
2023-01-13 00:21:08.154 INFO  EventLoop started, pid=16204 tid=13724 [HttpServer.cpp:316:loop_thread]
2023-01-13 00:21:08.154 INFO  EventLoop started, pid=16204 tid=14148 [HttpServer.cpp:316:loop_thread]
2023-01-13 00:21:08.154 INFO  EventLoop started, pid=16204 tid=15276 [HttpServer.cpp:316:loop_thread]
2023-01-13 00:21:08.154 INFO  EventLoop started, pid=16204 tid=14920 [HttpServer.cpp:316:loop_thread]
2023-01-13 00:21:08.154 INFO  EventLoop started, pid=16204 tid=12880 [HttpServer.cpp:316:loop_thread]
2023-01-13 00:21:08.154 INFO  EventLoop started, pid=16204 tid=15968 [HttpServer.cpp:316:loop_thread]
2023-01-13 00:21:08.154 INFO  EventLoop started, pid=16204 tid=15364 [HttpServer.cpp:316:loop_thread]
2023-01-13 00:21:08.154 INFO  EventLoop started, pid=16204 tid=13716 [HttpServer.cpp:316:loop_thread]
2023-01-13 00:21:11.514 INFO  [127.0.0.1:56419] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:21:11.514 INFO  [16204-14920][127.0.0.1:56419][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:21:18.973 INFO  [127.0.0.1:56422] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:21:18.973 INFO  [16204-12880][127.0.0.1:56422][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:21:20.403 INFO  [127.0.0.1:56425] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:21:20.404 INFO  [16204-12880][127.0.0.1:56425][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:21:22.219 INFO  [127.0.0.1:56426] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:21:22.219 INFO  [16204-12880][127.0.0.1:56426][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:22:45.639 INFO  [127.0.0.1:56433] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:22:45.639 INFO  [16204-13724][127.0.0.1:56433][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:22:49.061 INFO  [127.0.0.1:56438] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:22:49.061 INFO  [16204-15968][127.0.0.1:56438][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-01-13 00:22:57.183 INFO  [127.0.0.1:56439] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-01-13 00:22:57.184 INFO  [16204-15968][127.0.0.1:56439][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
