2023-02-01 00:00:37.610 INFO  http server listening on 0.0.0.0:5005 [HttpServer.cpp:336:http_server_run]
2023-02-01 00:00:37.612 INFO  EventLoop started, pid=8408 tid=2436 [HttpServer.cpp:316:loop_thread]
2023-02-01 00:00:37.612 INFO  EventLoop started, pid=8408 tid=7052 [HttpServer.cpp:316:loop_thread]
2023-02-01 00:00:37.612 INFO  EventLoop started, pid=8408 tid=13088 [HttpServer.cpp:316:loop_thread]
2023-02-01 00:00:37.612 INFO  EventLoop started, pid=8408 tid=13884 [HttpServer.cpp:316:loop_thread]
2023-02-01 00:00:37.612 INFO  EventLoop started, pid=8408 tid=10116 [HttpServer.cpp:316:loop_thread]
2023-02-01 00:00:37.612 INFO  EventLoop started, pid=8408 tid=10488 [HttpServer.cpp:316:loop_thread]
2023-02-01 00:00:37.612 INFO  EventLoop started, pid=8408 tid=7880 [HttpServer.cpp:316:loop_thread]
2023-02-01 00:00:37.612 INFO  EventLoop started, pid=8408 tid=13324 [HttpServer.cpp:316:loop_thread]
2023-02-01 00:00:51.516 INFO  [127.0.0.1:59175] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-02-01 00:00:51.516 INFO  [8408-7052][127.0.0.1:59175][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-02-01 00:00:53.821 INFO  [127.0.0.1:59179] Upgrade: websocket [HttpServer.cpp:111:on_recv]
2023-02-01 00:00:53.821 INFO  [8408-13088][127.0.0.1:59179][GET /]=>[101 Switching Protocols] [HttpServer.cpp:172:on_recv]
2023-02-01 00:00:55.863 WARN  try_write failed, enqueue! [nio.c:502:hio_write]
2023-02-01 00:00:55.885 WARN  write len=4392 enqueue 4392, bufsize=8388720 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.885 WARN  write len=4392 enqueue 4392, bufsize=8393112 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.885 WARN  write len=4392 enqueue 4392, bufsize=8397504 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.885 WARN  write len=4392 enqueue 4392, bufsize=8401896 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.885 WARN  write len=4392 enqueue 4392, bufsize=8406288 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.885 WARN  write len=4392 enqueue 4392, bufsize=8410680 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.885 WARN  write len=4392 enqueue 4392, bufsize=8415072 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.885 WARN  write len=4392 enqueue 4392, bufsize=8419464 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8423856 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8428248 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8432640 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8437032 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8441424 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8445816 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8450208 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8454600 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8458992 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8463384 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8467776 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8472168 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8476560 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8480952 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8485344 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8489736 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8494128 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8498520 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8502912 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8507304 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8511696 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8516088 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8520480 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8524872 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8529264 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8533656 over high water 8388608 [nio.c:540:hio_write]
2023-02-01 00:00:55.886 WARN  write len=4392 enqueue 4392, bufsize=8538048 over high water 8388608 [nio.c:540:hio_write]
